Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
BL,Commodity Balances - Livestock and Fish Primary Equivalent,41,"China, mainland",5510,Production,2769,"Aquatic Animals, Others",1961,1961,tonnes,0,S,Standardized data
BL,Commodity Balances - Livestock and Fish Primary Equivalent,41,"China, mainland",5510,Production,2769,"Aquatic Animals, Others",1962,1962,tonnes,0,S,Standardized data
BL,Commodity Balances - Livestock and Fish Primary Equivalent,41,"China, mainland",5510,Production,2769,"Aquatic Animals, Others",1963,1963,tonnes,0,S,Standardized data
BL,Commodity Balances - Livestock and Fish Primary Equivalent,41,"China, mainland",5510,Production,2769,"Aquatic Animals, Others",1964,1964,tonnes,0,S,Standardized data
BL,Commodity Balances - Livestock and Fish Primary Equivalent,41,"China, mainland",5510,Production,2769,"Aquatic Animals, Others",1965,1965,tonnes,0,S,Standardized data
BL,Commodity Balances - Livestock and Fish Primary Equivalent,41,"China, mainland",5510,Production,2769,"Aquatic Animals, Others",1966,1966,tonnes,0,S,Standardized data
BL,Commodity Balances - Livestock and Fish Primary Equivalent,41,"China, mainland",5510,Production,2769,"Aquatic Animals, Others",1967,1967,tonnes,0,S,Standardized data
BL,Commodity Balances - Livestock and Fish Primary Equivalent,41,"China, mainland",5510,Production,2769,"Aquatic Animals, Others",1968,1968,tonnes,0,S,Standardized data
BL,Commodity Balances - Livestock and Fish Primary Equivalent,41,"China, mainland",5510,Production,2769,"Aquatic Animals, Others",1969,1969,tonnes,0,S,Standardized data
BL,Commodity Balances - Livestock and Fish Primary Equivalent,41,"China, mainland",5510,Production,2769,"Aquatic Animals, Others",1970,1970,tonnes,50600,S,Standardized data
BL,Commodity Balances - Livestock and Fish Primary Equivalent,41,"China, mainland",5510,Production,2769,"Aquatic Animals, Others",1971,1971,tonnes,16000,S,Standardized data
BL,Commodity Balances - Livestock and Fish Primary Equivalent,41,"China, mainland",5510,Production,2769,"Aquatic Animals, Others",1972,1972,tonnes,16600,S,Standardized data
BL,Commodity Balances - Livestock and Fish Primary Equivalent,41,"China, mainland",5510,Production,2769,"Aquatic Animals, Others",1973,1973,tonnes,58200,S,Standardized data
BL,Commodity Balances - Livestock and Fish Primary Equivalent,41,"China, mainland",5510,Production,2769,"Aquatic Animals, Others",1974,1974,tonnes,22068,S,Standardized data
BL,Commodity Balances - Livestock and Fish Primary Equivalent,41,"China, mainland",5510,Production,2769,"Aquatic Animals, Others",1975,1975,tonnes,17109,S,Standardized data
BL,Commodity Balances - Livestock and Fish Primary Equivalent,41,"China, mainland",5510,Production,2769,"Aquatic Animals, Others",1976,1976,tonnes,5607,S,Standardized data
BL,Commodity Balances - Livestock and Fish Primary Equivalent,41,"China, mainland",5510,Production,2769,"Aquatic Animals, Others",1977,1977,tonnes,12510,S,Standardized data
BL,Commodity Balances - Livestock and Fish Primary Equivalent,41,"China, mainland",5510,Production,2769,"Aquatic Animals, Others",1978,1978,tonnes,4844,S,Standardized data
BL,Commodity Balances - Livestock and Fish Primary Equivalent,41,"China, mainland",5510,Production,2769,"Aquatic Animals, Others",1979,1979,tonnes,13743,S,Standardized data
BL,Commodity Balances - Livestock and Fish Primary Equivalent,41,"China, mainland",5510,Production,2769,"Aquatic Animals, Others",1980,1980,tonnes,9867,S,Standardized data
BL,Commodity Balances - Livestock and Fish Primary Equivalent,41,"China, mainland",5510,Production,2769,"Aquatic Animals, Others",1981,1981,tonnes,18965,S,Standardized data
BL,Commodity Balances - Livestock and Fish Primary Equivalent,41,"China, mainland",5510,Production,2769,"Aquatic Animals, Others",1982,1982,tonnes,18796,S,Standardized data
BL,Commodity Balances - Livestock and Fish Primary Equivalent,41,"China, mainland",5510,Production,2769,"Aquatic Animals, Others",1983,1983,tonnes,11476,S,Standardized data
BL,Commodity Balances - Livestock and Fish Primary Equivalent,41,"China, mainland",5510,Production,2769,"Aquatic Animals, Others",1984,1984,tonnes,39182,S,Standardized data
BL,Commodity Balances - Livestock and Fish Primary Equivalent,41,"China, mainland",5510,Production,2769,"Aquatic Animals, Others",1985,1985,tonnes,62909,S,Standardized data
BL,Commodity Balances - Livestock and Fish Primary Equivalent,41,"China, mainland",5510,Production,2769,"Aquatic Animals, Others",1986,1986,tonnes,22145,S,Standardized data
BL,Commodity Balances - Livestock and Fish Primary Equivalent,41,"China, mainland",5510,Production,2769,"Aquatic Animals, Others",1987,1987,tonnes,61409,S,Standardized data
BL,Commodity Balances - Livestock and Fish Primary Equivalent,41,"China, mainland",5510,Production,2769,"Aquatic Animals, Others",1988,1988,tonnes,35029,S,Standardized data
BL,Commodity Balances - Livestock and Fish Primary Equivalent,41,"China, mainland",5510,Production,2769,"Aquatic Animals, Others",1989,1989,tonnes,39307,S,Standardized data
BL,Commodity Balances - Livestock and Fish Primary Equivalent,41,"China, mainland",5510,Production,2769,"Aquatic Animals, Others",1990,1990,tonnes,43558,S,Standardized data
BL,Commodity Balances - Livestock and Fish Primary Equivalent,41,"China, mainland",5510,Production,2769,"Aquatic Animals, Others",1991,1991,tonnes,102028,S,Standardized data
BL,Commodity Balances - Livestock and Fish Primary Equivalent,41,"China, mainland",5510,Production,2769,"Aquatic Animals, Others",1992,1992,tonnes,237108,S,Standardized data
BL,Commodity Balances - Livestock and Fish Primary Equivalent,41,"China, mainland",5510,Production,2769,"Aquatic Animals, Others",1993,1993,tonnes,149254,S,Standardized data
BL,Commodity Balances - Livestock and Fish Primary Equivalent,41,"China, mainland",5510,Production,2769,"Aquatic Animals, Others",1994,1994,tonnes,146046,S,Standardized data
BL,Commodity Balances - Livestock and Fish Primary Equivalent,41,"China, mainland",5510,Production,2769,"Aquatic Animals, Others",1995,1995,tonnes,213984,S,Standardized data
