Domain,Country,Element,Item,Year,Unit,Value,Flag Description
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,"Aquatic Animals, Others",1961,tonnes,0,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,"Aquatic Animals, Others",1962,tonnes,0,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,"Aquatic Animals, Others",1963,tonnes,0,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,"Aquatic Animals, Others",1964,tonnes,0,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,"Aquatic Animals, Others",1965,tonnes,0,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,"Aquatic Animals, Others",1966,tonnes,0,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,"Aquatic Animals, Others",1967,tonnes,0,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,"Aquatic Animals, Others",1968,tonnes,0,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,"Aquatic Animals, Others",1969,tonnes,0,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,"Aquatic Animals, Others",1970,tonnes,50600,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,"Aquatic Animals, Others",1971,tonnes,16000,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,"Aquatic Animals, Others",1972,tonnes,16600,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,"Aquatic Animals, Others",1973,tonnes,58200,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,"Aquatic Animals, Others",1974,tonnes,22068,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,"Aquatic Animals, Others",1975,tonnes,17109,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,"Aquatic Animals, Others",1976,tonnes,5607,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,"Aquatic Animals, Others",1977,tonnes,12510,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,"Aquatic Animals, Others",1978,tonnes,4844,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,"Aquatic Animals, Others",1979,tonnes,13743,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,"Aquatic Animals, Others",1980,tonnes,9867,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,"Aquatic Animals, Others",1981,tonnes,18965,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,"Aquatic Animals, Others",1982,tonnes,18796,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,"Aquatic Animals, Others",1983,tonnes,11476,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,"Aquatic Animals, Others",1984,tonnes,39182,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,"Aquatic Animals, Others",1985,tonnes,62909,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,"Aquatic Animals, Others",1986,tonnes,22145,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,"Aquatic Animals, Others",1987,tonnes,61409,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,"Aquatic Animals, Others",1988,tonnes,35029,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,"Aquatic Animals, Others",1989,tonnes,39307,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,"Aquatic Animals, Others",1990,tonnes,43558,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,"Aquatic Animals, Others",1991,tonnes,102028,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,"Aquatic Animals, Others",1992,tonnes,237108,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,"Aquatic Animals, Others",1993,tonnes,149254,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,"Aquatic Animals, Others",1994,tonnes,146046,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,"Aquatic Animals, Others",1995,tonnes,213984,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,"Aquatic Animals, Others",1996,tonnes,304794,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,"Aquatic Animals, Others",1997,tonnes,431879,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,"Aquatic Animals, Others",1998,tonnes,485269,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,"Aquatic Animals, Others",1999,tonnes,443410,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,"Aquatic Animals, Others",2000,tonnes,398016,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,"Aquatic Animals, Others",2001,tonnes,413596,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,"Aquatic Animals, Others",2002,tonnes,391840,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,"Aquatic Animals, Others",2003,tonnes,597780,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,"Aquatic Animals, Others",2004,tonnes,554733,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,"Aquatic Animals, Others",2005,tonnes,673718,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,"Aquatic Animals, Others",2006,tonnes,628264,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,"Aquatic Animals, Others",2007,tonnes,739056,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,"Aquatic Animals, Others",2008,tonnes,860018,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,"Aquatic Animals, Others",2009,tonnes,934828,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,"Aquatic Animals, Others",2010,tonnes,1012437,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,"Aquatic Animals, Others",2011,tonnes,945088,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,"Aquatic Animals, Others",2012,tonnes,1047223,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,"Aquatic Animals, Others",2013,tonnes,1047223,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Import Quantity,"Aquatic Animals, Others",1961,tonnes,0,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Import Quantity,"Aquatic Animals, Others",1962,tonnes,0,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Import Quantity,"Aquatic Animals, Others",1963,tonnes,0,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Import Quantity,"Aquatic Animals, Others",1964,tonnes,0,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Import Quantity,"Aquatic Animals, Others",1965,tonnes,0,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Import Quantity,"Aquatic Animals, Others",1966,tonnes,0,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Import Quantity,"Aquatic Animals, Others",1967,tonnes,0,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Import Quantity,"Aquatic Animals, Others",1968,tonnes,0,Standardized data
