Domain,Country,Element,Item,Year,Unit,Value,Flag Description
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Aquatic Plants,1961,10000 tonnes,25.0,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Aquatic Plants,1962,10000 tonnes,25.0,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Aquatic Plants,1963,10000 tonnes,30.0,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Aquatic Plants,1964,10000 tonnes,40.0,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Aquatic Plants,1965,10000 tonnes,40.0,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Aquatic Plants,1966,10000 tonnes,50.0,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Aquatic Plants,1967,10000 tonnes,50.0,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Aquatic Plants,1968,10000 tonnes,50.0,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Aquatic Plants,1969,10000 tonnes,60.0,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Aquatic Plants,1970,10000 tonnes,52.98,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Aquatic Plants,1971,10000 tonnes,70.48,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Aquatic Plants,1972,10000 tonnes,82.88,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Aquatic Plants,1973,10000 tonnes,70.94,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Aquatic Plants,1974,10000 tonnes,76.1365,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Aquatic Plants,1975,10000 tonnes,84.4365,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Aquatic Plants,1976,10000 tonnes,80.608,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Aquatic Plants,1977,10000 tonnes,120.2965,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Aquatic Plants,1978,10000 tonnes,138.133,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Aquatic Plants,1979,10000 tonnes,130.3085,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Aquatic Plants,1980,10000 tonnes,135.1835,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Aquatic Plants,1981,10000 tonnes,117.961,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Aquatic Plants,1982,10000 tonnes,118.888,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Aquatic Plants,1983,10000 tonnes,129.234,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Aquatic Plants,1984,10000 tonnes,141.3135,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Aquatic Plants,1985,10000 tonnes,146.0365,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Aquatic Plants,1986,10000 tonnes,133.6935,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Aquatic Plants,1987,10000 tonnes,117.528,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Aquatic Plants,1988,10000 tonnes,142.8535,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Aquatic Plants,1989,10000 tonnes,163.2235,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Aquatic Plants,1990,10000 tonnes,153.032,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Aquatic Plants,1991,10000 tonnes,226.599,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Aquatic Plants,1992,10000 tonnes,315.9005,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Aquatic Plants,1993,10000 tonnes,392.9945,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Aquatic Plants,1994,10000 tonnes,425.2658,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Aquatic Plants,1995,10000 tonnes,428.2743,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Aquatic Plants,1996,10000 tonnes,461.2313,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Aquatic Plants,1997,10000 tonnes,455.3188,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Aquatic Plants,1998,10000 tonnes,580.692,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Aquatic Plants,1999,10000 tonnes,661.9551,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Aquatic Plants,2000,10000 tonnes,709.4986,Standardized data
