Item-En,项目名称: Item_Cn,Explanation-En,中文解释: Explanation-Cn,Unit-En,单位: Unit-Cn
Area,地区,"Name of different provinces (or provincial level area); or 'China', which refers to mainland China.",中国省份（或省级地区）的名字；或者指代中国大陆的‘中国’。,10000 heads,万头
Year,年份,Years.,年份,10000 heads,万头
Stock_cattle,存栏量_牛,Numbers of stocks of cattle.,牛的存栏量,10000 heads,万头
Stock_gt_shp,存栏量_山羊&绵羊,Numbers of stocks of the total of goats and sheep.,山羊和绵羊的总存栏量,10000 heads,万头
Stock_pig,存栏量_猪,Numbers of stocks of pigs.,猪的存栏量,10000 heads,万头
Stock_birds,存栏量_禽类,Numbers of stocks of birds. Areas data estimated by (each year's 'Slau_birds' of cn / each year's 'Stock_birds' of cn = 'Slau_birds' in areas of same year / 'Stock_birds' in areas of same year).,禽类的存栏量；无地方数据,10000 heads,万头
Slau_cattle,屠宰量_牛,Numbers of slaughtered cattle for meat.,牛的屠宰数量（出栏量）,10000 heads,万头
Slau_gt_shp,屠宰量_山羊&绵羊,Numbers of slaughtered goats and sheep for meat.,山羊和绵羊的屠宰数量（出栏量）,10000 heads,万头
Slau_pig,屠宰量_猪,Numbers of slaughtered pigs for meat.,猪的屠宰数量（出栏量）,10000 heads,万头
Slau_birds,屠宰量_禽类,"Numbers of slaughtered birds for meat, mainly from chicken and duck.",禽类的屠宰数量（出栏量）,10000 heads,万头
MeatProd_cattle,肉产量_牛,Weights of meat produced by cattle.,来自牛的肉类产量,10000 tonnes,万吨
MeatProd_gt_shp,肉产量_山羊&绵羊,Weights of meat produced by goat and sheep.,来自山羊和绵羊的肉类产量,10000 tonnes,万吨
MeatProd_pig,肉产量_猪,Weights of meat produced by pig.,来自猪的肉类产量,10000 tonnes,万吨
MeatProd_birds,肉产量_禽类,"Weights of meat produced by birds, ainly from chicken and duck. Areas data estimated by ('Slau_birds' * 'MeatYield_birds').",来自禽类的肉类产量，地方数据通过 (‘屠宰量_鸡’ × 当年全国的‘单位产量_鸡’) 估算,10000 tonnes,万吨
EggProd,蛋产量,"Weights of eggs produced by birds, mainly from chicken and duck.",禽蛋产量，主要包括鸡和鸭,10000 tonnes,万吨
MilkProd_cow,奶产量_牛,Weights of fresh milk produced by cow.,新鲜牛奶产量,10000 tonnes,万吨
MeatYield_cattle,单位产量_牛,"Mean value of weights of meat from each cattle, areas data estimated by ('MeatProd_cattle' / 'Slau_cattle').",平均每头牛的产肉量，地方数据通过 (‘肉产量_牛’ / ‘屠宰量_牛’) 估算,10000 tonnes,万吨
MeatYield_gt_shp,单位产量_山羊&绵羊,"Mean value of weights of meat from each goat or sheep, areas data estimated by ('MeatProd_gt_shp' / 'Slau_gt_shp').",平均每只山羊或绵羊的产肉量，地方数据通过 (‘肉产量_山羊&绵羊’ / ‘屠宰量_山羊&绵羊’) 估算,10000 tonnes,万吨
