Domain,Area,Element,Item,Year,Unit,Value,Flag Description
Live Animals,China,Stocks,Cattle,1961,10000 Head,4951.4057,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,1962,10000 Head,4687.556,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,1963,10000 Head,4747.5507,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,1964,10000 Head,4905.6062,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,1965,10000 Head,5253.3452,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,1966,10000 Head,5368.9871,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,1967,10000 Head,5606.5909,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,1968,10000 Head,5697.53,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,1969,10000 Head,5783.8346,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,1970,10000 Head,5761.6205,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,1971,10000 Head,5760.8007,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,1972,10000 Head,5759.2971,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,1973,10000 Head,5710.9536,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,1974,10000 Head,5678.93,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,1975,10000 Head,5668.2903,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,1976,10000 Head,5568.585,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,1977,10000 Head,5397.6936,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,1978,10000 Head,5283.5851,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,1979,10000 Head,5262.5386,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,1980,10000 Head,5249.6213,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,1981,10000 Head,5260.0332,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,1982,10000 Head,5391.5814,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,1983,10000 Head,5701.1528,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,1984,10000 Head,5902.2646,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,1985,10000 Head,6271.4199,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,1986,10000 Head,6699.3286,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,1987,10000 Head,7096.5348,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,1988,10000 Head,7322.6276,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,1989,10000 Head,7625.78,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,1990,10000 Head,7790.9675,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,1991,10000 Head,8132.7882,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,1992,10000 Head,8272.2948,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,1993,10000 Head,8578.332,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,1994,10000 Head,9090.8312,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,1995,10000 Head,10055.5931,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,1996,10000 Head,10891.3232,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,1997,10000 Head,9083.5401,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,1998,10000 Head,9943.5292,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,1999,10000 Head,10191.2343,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,2000,10000 Head,10455.3559,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,2001,10000 Head,10092.9433,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,2002,10000 Head,9555.5476,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,2003,10000 Head,9309.9589,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,2004,10000 Head,9220.7458,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,2005,10000 Head,9013.4331,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,2006,10000 Head,8754.8391,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,2007,10000 Head,8206.6855,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,2008,10000 Head,8281.5275,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,2009,10000 Head,8262.4651,"Aggregate, may include official, semi-official, estimated or calculated data"
