Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
QL,Livestock Primary,41,"China, mainland",5313,Laying,1062,"Eggs, hen, in shell",1961,1961,1000 Head,390000,F,FAO estimate
QL,Livestock Primary,41,"China, mainland",5313,Laying,1062,"Eggs, hen, in shell",1962,1962,1000 Head,403000,F,FAO estimate
QL,Livestock Primary,41,"China, mainland",5313,Laying,1062,"Eggs, hen, in shell",1963,1963,1000 Head,390000,F,FAO estimate
QL,Livestock Primary,41,"China, mainland",5313,Laying,1062,"Eggs, hen, in shell",1964,1964,1000 Head,402000,F,FAO estimate
QL,Livestock Primary,41,"China, mainland",5313,Laying,1062,"Eggs, hen, in shell",1965,1965,1000 Head,410000,F,FAO estimate
QL,Livestock Primary,41,"China, mainland",5313,Laying,1062,"Eggs, hen, in shell",1966,1966,1000 Head,427000,F,FAO estimate
QL,Livestock Primary,41,"China, mainland",5313,Laying,1062,"Eggs, hen, in shell",1967,1967,1000 Head,434000,F,FAO estimate
QL,Livestock Primary,41,"China, mainland",5313,Laying,1062,"Eggs, hen, in shell",1968,1968,1000 Head,445000,F,FAO estimate
QL,Livestock Primary,41,"China, mainland",5313,Laying,1062,"Eggs, hen, in shell",1969,1969,1000 Head,456000,F,FAO estimate
QL,Livestock Primary,41,"China, mainland",5313,Laying,1062,"Eggs, hen, in shell",1970,1970,1000 Head,448000,F,FAO estimate
QL,Livestock Primary,41,"China, mainland",5313,Laying,1062,"Eggs, hen, in shell",1971,1971,1000 Head,472000,F,FAO estimate
QL,Livestock Primary,41,"China, mainland",5313,Laying,1062,"Eggs, hen, in shell",1972,1972,1000 Head,472000,F,FAO estimate
QL,Livestock Primary,41,"China, mainland",5313,Laying,1062,"Eggs, hen, in shell",1973,1973,1000 Head,474000,F,FAO estimate
QL,Livestock Primary,41,"China, mainland",5313,Laying,1062,"Eggs, hen, in shell",1974,1974,1000 Head,489000,F,FAO estimate
QL,Livestock Primary,41,"China, mainland",5313,Laying,1062,"Eggs, hen, in shell",1975,1975,1000 Head,493000,F,FAO estimate
QL,Livestock Primary,41,"China, mainland",5313,Laying,1062,"Eggs, hen, in shell",1976,1976,1000 Head,502000,F,FAO estimate
QL,Livestock Primary,41,"China, mainland",5313,Laying,1062,"Eggs, hen, in shell",1977,1977,1000 Head,513000,F,FAO estimate
QL,Livestock Primary,41,"China, mainland",5313,Laying,1062,"Eggs, hen, in shell",1978,1978,1000 Head,517000,F,FAO estimate
QL,Livestock Primary,41,"China, mainland",5313,Laying,1062,"Eggs, hen, in shell",1979,1979,1000 Head,530000,F,FAO estimate
QL,Livestock Primary,41,"China, mainland",5313,Laying,1062,"Eggs, hen, in shell",1980,1980,1000 Head,540000,F,FAO estimate
QL,Livestock Primary,41,"China, mainland",5313,Laying,1062,"Eggs, hen, in shell",1981,1981,1000 Head,515000,F,FAO estimate
QL,Livestock Primary,41,"China, mainland",5313,Laying,1062,"Eggs, hen, in shell",1982,1982,1000 Head,528000,F,FAO estimate
QL,Livestock Primary,41,"China, mainland",5313,Laying,1062,"Eggs, hen, in shell",1983,1983,1000 Head,553000,F,FAO estimate
QL,Livestock Primary,41,"China, mainland",5313,Laying,1062,"Eggs, hen, in shell",1984,1984,1000 Head,575000,F,FAO estimate
QL,Livestock Primary,41,"China, mainland",5313,Laying,1062,"Eggs, hen, in shell",1985,1985,1000 Head,638000,F,FAO estimate
QL,Livestock Primary,41,"China, mainland",5313,Laying,1062,"Eggs, hen, in shell",1986,1986,1000 Head,634000,F,FAO estimate
