Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
QA,Live Animals,41,"China, mainland",5111,Stocks,1107,Asses,1961,1961,Head,7527000,,Official data
QA,Live Animals,41,"China, mainland",5111,Stocks,1107,Asses,1962,1962,Head,6565000,,Official data
QA,Live Animals,41,"China, mainland",5111,Stocks,1107,Asses,1963,1963,Head,6454000,,Official data
QA,Live Animals,41,"China, mainland",5111,Stocks,1107,Asses,1964,1964,Head,6746000,,Official data
QA,Live Animals,41,"China, mainland",5111,Stocks,1107,Asses,1965,1965,Head,7048000,,Official data
QA,Live Animals,41,"China, mainland",5111,Stocks,1107,Asses,1966,1966,Head,7438000,,Official data
QA,Live Animals,41,"China, mainland",5111,Stocks,1107,Asses,1967,1967,Head,7500000,F,FAO estimate
QA,Live Animals,41,"China, mainland",5111,Stocks,1107,Asses,1968,1968,Head,7700000,F,FAO estimate
QA,Live Animals,41,"China, mainland",5111,Stocks,1107,Asses,1969,1969,Head,7900000,F,FAO estimate
QA,Live Animals,41,"China, mainland",5111,Stocks,1107,Asses,1970,1970,Head,8000000,F,FAO estimate
QA,Live Animals,41,"China, mainland",5111,Stocks,1107,Asses,1971,1971,Head,8400000,,Official data
QA,Live Animals,41,"China, mainland",5111,Stocks,1107,Asses,1972,1972,Head,8513000,,Official data
QA,Live Animals,41,"China, mainland",5111,Stocks,1107,Asses,1973,1973,Head,8353000,,Official data
QA,Live Animals,41,"China, mainland",5111,Stocks,1107,Asses,1974,1974,Head,8350000,,Official data
QA,Live Animals,41,"China, mainland",5111,Stocks,1107,Asses,1975,1975,Head,8233000,,Official data
QA,Live Animals,41,"China, mainland",5111,Stocks,1107,Asses,1976,1976,Head,8127000,,Official data
QA,Live Animals,41,"China, mainland",5111,Stocks,1107,Asses,1977,1977,Head,7766000,,Official data
QA,Live Animals,41,"China, mainland",5111,Stocks,1107,Asses,1978,1978,Head,7630000,,Official data
QA,Live Animals,41,"China, mainland",5111,Stocks,1107,Asses,1979,1979,Head,7481000,,Official data
QA,Live Animals,41,"China, mainland",5111,Stocks,1107,Asses,1980,1980,Head,7473000,,Official data
QA,Live Animals,41,"China, mainland",5111,Stocks,1107,Asses,1981,1981,Head,7748000,,Official data
QA,Live Animals,41,"China, mainland",5111,Stocks,1107,Asses,1982,1982,Head,8415000,,Official data
QA,Live Animals,41,"China, mainland",5111,Stocks,1107,Asses,1983,1983,Head,8999000,,Official data
QA,Live Animals,41,"China, mainland",5111,Stocks,1107,Asses,1984,1984,Head,9449000,,Official data
QA,Live Animals,41,"China, mainland",5111,Stocks,1107,Asses,1985,1985,Head,9962000,,Official data
QA,Live Animals,41,"China, mainland",5111,Stocks,1107,Asses,1986,1986,Head,10415000,,Official data
QA,Live Animals,41,"China, mainland",5111,Stocks,1107,Asses,1987,1987,Head,10689000,,Official data
QA,Live Animals,41,"China, mainland",5111,Stocks,1107,Asses,1988,1988,Head,10846000,,Official data
QA,Live Animals,41,"China, mainland",5111,Stocks,1107,Asses,1989,1989,Head,11052000,,Official data
QA,Live Animals,41,"China, mainland",5111,Stocks,1107,Asses,1990,1990,Head,11136000,,Official data
QA,Live Animals,41,"China, mainland",5111,Stocks,1107,Asses,1991,1991,Head,11198000,,Official data
QA,Live Animals,41,"China, mainland",5111,Stocks,1107,Asses,1992,1992,Head,11158000,,Official data
QA,Live Animals,41,"China, mainland",5111,Stocks,1107,Asses,1993,1993,Head,10983000,,Official data
QA,Live Animals,41,"China, mainland",5111,Stocks,1107,Asses,1994,1994,Head,10891000,,Official data
QA,Live Animals,41,"China, mainland",5111,Stocks,1107,Asses,1995,1995,Head,10923000,,Official data
QA,Live Animals,41,"China, mainland",5111,Stocks,1107,Asses,1996,1996,Head,10745000,,Official data
QA,Live Animals,41,"China, mainland",5111,Stocks,1107,Asses,1997,1997,Head,9444000,,Official data
QA,Live Animals,41,"China, mainland",5111,Stocks,1107,Asses,1998,1998,Head,9528000,,Official data
QA,Live Animals,41,"China, mainland",5111,Stocks,1107,Asses,1999,1999,Head,9558000,,Official data
